127.0.0.1 - - [05/Jul/2022:00:12:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:12:50 +0530] "GET /com.greatlearning.crm/ HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:12:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:13:36 +0530] "GET /com.greatlearning.crm/ HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:13:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:13:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:14:35 +0530] "GET /com.greatlearning.crm/ HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:14:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:14:38 +0530] "GET /com.greatlearning.crm/customer/list HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:14:52 +0530] "GET /com.greatlearning.crm/customer/showFormForUpdate?customerId=4 HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:15:50 +0530] "GET /com.greatlearning.crm/customer/list HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:15:55 +0530] "GET /com.greatlearning.crm/customer/showFormForAdd HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:16 +0530] "POST /com.greatlearning.crm/customer/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:16 +0530] "GET /com.greatlearning.crm/customer/list HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:20 +0530] "GET /com.greatlearning.crm/customer/showFormForUpdate?customerId=7 HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:30 +0530] "POST /com.greatlearning.crm/customer/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:30 +0530] "GET /com.greatlearning.crm/customer/list HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:34 +0530] "GET /com.greatlearning.crm/customer/showFormForUpdate?customerId=7 HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:35 +0530] "GET /com.greatlearning.crm/customer/list HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:35 +0530] "GET /com.greatlearning.crm/customer/showFormForAdd HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:37 +0530] "GET /com.greatlearning.crm/customer/list HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:38 +0530] "GET /com.greatlearning.crm/customer/showFormForUpdate?customerId=4 HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:51 +0530] "POST /com.greatlearning.crm/customer/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:51 +0530] "GET /com.greatlearning.crm/customer/list HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:52 +0530] "GET /com.greatlearning.crm/customer/showFormForUpdate?customerId=4 HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:53 +0530] "GET /com.greatlearning.crm/customer/list HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:59 +0530] "GET /com.greatlearning.crm/customer/deleteById?customerId=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2022:00:16:59 +0530] "GET /com.greatlearning.crm/customer/list HTTP/1.1" 200 3467
